return_direction,point_winner,point_end_type,point_end_location,kitchen_rush,server_score,returner_score,shot_count
middle,server,winner,mid-court,both,0,0,5
crosscourt,returner,winner,kitchen,returner,1,0,4
middle,server,winner,mid-court,both,0,1,3
crosscourt,server,unforced-error,baseline,retuner,1,1,2
crosscourt,server,winner,kitchen,both,2,1,5
line,returner,unforced-error,baseline,returner,3,1,4
middle,returner,winner,kitchen,returner,1,3,4
crosscourt,server,unforced-error,baseline,returner,3,1,2
middle,server,winner,baseline,both,4,1,3
crosscourt,server,winner,baseline,returner,5,1,3
N/A,returner,unforced-error,baseline,none,6,1,1
N/A,server,forced-error,baseline,none,1,6,2
line,server,unforced-error,baseline,returner,2,6,4
crosscourt,returner,forced-error,kitchen,returner,3,6,7
middle,server,forced-error,baseline,both,6,3,4
middle,server,winner,baseline,returner,7,3,5
line,returner,winner,mid-court,both,8,3,6
crosscourt,server,winner,mid-court,server,3,8,5
line,server,forced-error,baseline,returner,4,8,4
middle,returner,winner,baseline,server,5,8,4
line,returner,forced-error,mid-court,both,8,5,5
line,returner,winner,kitchen,returner,5,8,6
crosscourt,returner,winner,mid-court,both,8,5,4
crosscourt,server,winner,mid-court,returner,5,8,5
line,server,unforced-error,baseline,none,6,8,4
crosscourt,returner,winner,baseline,none,7,8,4
line,returner,forced-error,kitchen,returner,8,7,5
crosscourt,server,forced-error,baseline,returner,7,8,5
line,returner,winner,kitchen,returner,8,8,4
line,server,forced-error,mid-court,returner,8,8,5
crosscourt,server,unforced-error,baseline,none,8,8,2
crosscourt,returner,forced-error,baseline,server,9,8,7
crosscourt,server,winner,baseline,returner,8,9,3
N/A,server,forced-error,baseline,none,9,9,1
line,server,forced-error,baseline,returner,10,9,4
line,returner,winner,kitchen,returner,0,0,6
middle,returner,forced-error,baseline,server,0,0,7
line,returner,forced-error,kitchen,returner,0,0,5
crosscourt,server,winner,baseline,returner,0,0,3
middle,server,unforced-error,baseline,none,1,0,2
line,returner,unforced-error,baseline,returner,2,0,3
line,server,forced-error,baseline,returner,0,2,6
middle,returner,unforced-error,kitchen,both,1,2,9
line,returner,unforced-error,baseline,none,2,1,3
middle,returner,winner,mid-court,returner,1,2,3
line,server,forced-error,baseline,returner,2,1,3
crosscourt,server,forced-error,mid-court,server,3,1,3
N/A,server,unforced-error,baseline,none,4,1,2
line,returner,unforced-error,baseline,returner,5,1,3
N/A,server,unforced-error,baseline,none,1,5,2
line,server,winner,mid-court,returner,2,5,5
crosscourt,returner,unforced-error,middle,server,0,0,5
line,returner,unforced-error,middle,returner,0,0,3
line,server,winner,middle,returner,0,0,11
crosscourt,returner,winner,baseline,server,1,0,8
line,server,forced-error,baseline,returner,0,1,10
middle,server,unforced-error,middle,none,1,1,2
line,returner,forced-error,middle,both,2,1,5
crosscourt,returner,unforced-error,baseline,server,1,2,7
N/A,returner,unforced-error,middle,none,2,1,1
middle,server,winner,middle,server,1,2,5
line,returner,forced-error,middle,both,2,2,10
middle,returner,unforced-error,middle,both,2,2,5
crosscourt,returner,winner,middle,returner,2,2,10
line,server,forced-error,middle,returner,2,2,10
N/A,server,forced-error,middle,none,3,2,1
line,server,winner,baseline,returner,4,2,3
crosscourt,server,unforced-error,middle,server,5,2,4
middle,server,forced-error,middle,server,6,2,12
line,returner,unforced-error,middle,returner,7,2,3
middle,server,unforced-error,middle,server,2,7,4
crosscourt,server,forced-error,middle,server,3,7,6
line,server,winner,baseline,both,4,7,13
crosscourt,server,winner,baseline,both,5,7,7
line,returner,unforced-error,middle,none,6,7,3
middle,returner,forced-error,middle,server,7,6,5
middle,server,winner,middle,returner,6,7,5
crosscourt,server,winner,middle,none,7,7,3
line,returner,forced-error,middle,server,8,7,7
line,server,forced-error,middle,returner,7,8,5
line,server,winner,baseline,returner,8,8,9
middle,returner,winner,middle,returner,9,8,5
line,returner,winner,middle,both,8,9,8
line,server,winner,middle,returner,9,8,5
line,server,unforced-error,middle,none,8,9,4
crosscourt,returner,unforced-error,middle,returner,9,9,5
middle,returner,forced-error,middle,returner,9,9,3
line,returner,forced-error,middle,returner,9,9,5
middle,returner,forced-error,middle,returner,9,9,7
